medstat_id,medstat_name,n_municipalities,municipalities,any_ambiguous
AG01,Aarburg,3,Aarburg; Boningen; Olten,TRUE
AG02,Oftringen,1,Oftringen,TRUE
AG03,Zofingen,2,Uerkheim; Zofingen,TRUE
AG04,Aargaues Wiggertal,4,Brittnau; Rothrist; Strengelbach; Vordemwald,TRUE
AG05,Mühlebach-Uerke,5,Bottenwil; Holziken; Kölliken; Safenwil; Wiliberg,FALSE
AG06,Rothrist-Murgenthal,1,Murgenthal,TRUE
AG07,Aarau,2,Aarau; Suhr,TRUE
AG08,Erlinsbach-Staffelegg,6,Biberstein; Densbüren; Erlinsbach (AG); Erlinsbach (SO); Küttigen; Wölflinswil,TRUE
AG09,Buchs-Rohr,1,Buchs (AG),FALSE
AG10,NA,NA,NA,NA
AG11,Entfelden,2,Oberentfelden; Unterentfelden,FALSE
AG12,Suhretal,7,Hirschthal; Kirchleerau; Moosleerau; Muhen; Reitnau; Schöftland; Staffelbach,FALSE
AG13,Kulm,6,Gontenschwil; Leimbach (AG); Oberkulm; Schlossrued; Schmiedrued; Zetzwil,FALSE
AG14,Rupperswil-Schafisheim,3,Hunzenschwil; Rupperswil; Schafisheim,TRUE
AG15,Niederlenz-Holderbank,3,Holderbank (AG); Möriken-Wildegg; Niederlenz,FALSE
AG16,Lenzburg,3,Ammerswil; Lenzburg; Staufen,FALSE
AG17,Hallwiler See,4,Egliswil; Fahrwangen; Meisterschwanden; Seengen,TRUE
AG18,Aatal,7,Birrwil; Boniswil; Dürrenäsch; Hallwil; Leutwil; Seon; Teufenthal (AG),TRUE
AG19,Reinach-Beinwil,2,Beinwil am See; Reinach (AG),FALSE
AG20,Wynental,2,Gränichen; Unterkulm,FALSE
AG21,Menziken,1,Menziken,FALSE
AG22,Schinznach,5,Auenstein; Brugg; Schinznach; Thalheim (AG); Veltheim (AG),TRUE
AG23,Brugg,1,Rüfenach,TRUE
AG24,Windisch,2,Hausen (AG); Windisch,FALSE
AG25,Bözberg-Villigen,5,Bözberg; Mönthal; Remigen; Riniken; Villigen,TRUE
AG26,Birrfeld,6,Birr; Birrhard; Brunegg; Habsburg; Lupfig; Mülligen,TRUE
AG27,Eetel-Surb,9,Endingen; Fisibach; Lengnau (AG); Mellikon; Oberweningen; Schneisingen; Siglistorf; Tegerfelden; Zurzach,TRUE
AG28,Zurzach-Klingnau,3,Döttingen; Klingnau; Koblenz,FALSE
AG29,Leibstadt-Unteraar,5,Böttstein; Full-Reuenthal; Leibstadt; Leuggern; Mandach,FALSE
AG30,Birmenstorf-Turgi,2,Birmenstorf (AG); Gebenstorf,TRUE
AG31,Untersiggenthal-Würenlingen,2,Untersiggenthal; Würenlingen,TRUE
AG32,NA,NA,NA,NA
AG33,Fislisbach Ausserbaden,2,Baden; Fislisbach,TRUE
AG34,Ennetbaden-Ehrendingen,2,Ehrendingen; Ennetbaden,FALSE
AG35,Obersiggenthal,2,Freienwil; Obersiggenthal,FALSE
AG36,Wettingen,2,Würenlos; Wettingen,TRUE
AG37,Neuenhof-Würenlos,2,Killwangen; Neuenhof,FALSE
AG38,Spreitenbach,1,Spreitenbach,TRUE
AG39,Rohrdorf,6,Eggenwil; Künten; Niederrohrdorf; Oberrohrdorf; Remetschwil; Stetten (AG),FALSE
AG40,Mutschellen-Reppischtal,5,Bellikon; Bergdietikon; Berikon; Rudolfstetten-Friedlisberg; Widen,TRUE
AG41,Mellingen-Reusstal,7,Fischbach-Göslikon; Hägglingen; Mägenwil; Mellingen; Niederwil (AG); Tägerig; Wohlenschwil,TRUE
AG42,Bremgarten-Mutschellen,2,Bremgarten (AG); Zufikon,TRUE
AG43,Lunkhofen-Jonental,6,Arni (AG); Islisberg; Jonen; Oberlunkhofen; Oberwil-Lieli; Unterlunkhofen,FALSE
AG44,Unterbünztal,4,Dintikon; Dottikon; Hendschiken; Othmarsingen,FALSE
AG45,Wohlen,2,Villmergen; Wohlen (AG),TRUE
AG46,Villmergen-Erusbach,4,Büttikon; Bettwil; Sarmenstorf; Uezwil,TRUE
AG47,Boswil,5,Bünzen; Besenbüren; Kallern; Rottenschwil; Waltenschwil,FALSE
AG48,Muri,5,Aristau; Boswil; Buttwil; Merenschwand; Muri (AG),TRUE
AG49,Beinwil-Sins,8,Abtwil; Auw; Beinwil (Freiamt); Dietwil; Geltwil; Mühlau; Oberrüti; Sins,TRUE
AG50,Kaiseraugst-Magden,6,Arisdorf; Giebenach; Kaiseraugst; Magden; Olsberg; Rheinfelden,TRUE
AG51,NA,NA,NA,NA
AG52,Möhlin,1,Möhlin,FALSE
AG53,Möhlinbachtal-Mumpf,8,Hellikon; Mumpf; Obermumpf; Schupfart; Wallbach; Wegenstetten; Zeiningen; Zuzgen,TRUE
AG54,Stein-Sisseln,4,Eiken; Münchwilen (AG); Sisseln; Stein (AG),FALSE
AG55,Fricktal,5,Böztal; Frick; Herznach-Ueken; Oeschgen; Zeihen,FALSE
AG56,Bruggbachtal,3,Gipf-Oberfrick; Oberhof; Wittnau,FALSE
AG57,Laufenburg,5,Gansingen; Kaisten; Laufenburg; Mettauertal; Schwaderloch,TRUE
AI01,NA,NA,NA,NA
AI02,Inneres Landesteil,3,Appenzell; Gonten; Schwende-Rüte,TRUE
AR01,Appenzeller Mittelland,8,Bühler; Eggersriet; Grub (AR); Rehetobel; Speicher; St. Gallen; Trogen; Wald (AR),TRUE
AR02,Teufen-Gais,3,Gais; Schlatt-Haslen; Teufen (AR),TRUE
AR03,Appenzeller Hinterland,6,Hundwil; Schönengrund; Schwellbrunn; Stein (AR); Urnäsch; Waldstatt,TRUE
AR04,Herisau,1,Herisau,TRUE
AR05,Appenzeller Vorderland,8,Heiden; Lutzenberg; Oberegg; Reute (AR); Rorschacherberg; St. Margrethen; Walzenhausen; Wolfhalden,TRUE
BE01,NA,NA,NA,NA
BE02,NA,NA,NA,NA
BE03,NA,NA,NA,NA
BE04,NA,NA,NA,NA
BE05,NA,NA,NA,NA
BE06,NA,NA,NA,NA
BE07,NA,NA,NA,NA
BE08,NA,NA,NA,NA
BE09,Wohlen-Frauenkappelen,2,Bern; Frauenkappelen,TRUE
BE10,NA,NA,NA,NA
BE11,Bremgarten-Meikirch,4,Bremgarten bei Bern; Kirchlindach; Meikirch; Wohlen bei Bern,TRUE
BE12,Ittigen,1,Ittigen,FALSE
BE13,Zollikofen,2,Münchenbuchsee; Zollikofen,TRUE
BE14,Münchenbuchsee,3,Deisswil bei Münchenbuchsee; Schüpfen; Wiggiswil,TRUE
BE15,Bolligen-Worbletal,4,Bolligen; Ostermundigen; Stettlen; Vechigen,TRUE
BE16,NA,NA,NA,NA
BE17,Muri,3,Allmendingen; Muri bei Bern; Rubigen,TRUE
BE18,Worb,1,Worb,TRUE
BE19,NA,NA,NA,NA
BE20,NA,NA,NA,NA
BE21,Belp-Kehrsatz,2,Kehrsatz; Toffen,TRUE
BE22,Wangental-Scherli,2,Köniz; Oberbalm,TRUE
