bfs_nr,municipality,canton,medstat_id,medstat_name,ambiguous,year
1,Aeugst am Albis,ZH,ZH38,Knonaueramt,FALSE,2022
2,Affoltern am Albis,ZH,ZH36,Affoltern am Albis,FALSE,2022
3,Bonstetten,ZH,ZH35,Bonstetten-Reppischtal,FALSE,2022
4,Hausen am Albis,ZH,ZH38,Knonaueramt,TRUE,2022
5,Hedingen,ZH,ZH36,Affoltern am Albis,FALSE,2022
6,Kappel am Albis,ZH,ZH38,Knonaueramt,FALSE,2022
7,Knonau,ZH,ZH38,Knonaueramt,FALSE,2022
8,Maschwanden,ZH,ZH37,Obfelden,FALSE,2022
9,Mettmenstetten,ZH,ZH38,Knonaueramt,FALSE,2022
10,Obfelden,ZH,ZH36,Affoltern am Albis,TRUE,2022
11,Ottenbach,ZH,ZH37,Obfelden,FALSE,2022
12,Rifferswil,ZH,ZH38,Knonaueramt,FALSE,2022
13,Stallikon,ZH,ZH35,Bonstetten-Reppischtal,TRUE,2022
14,Wettswil am Albis,ZH,ZH35,Bonstetten-Reppischtal,FALSE,2022
22,Benken (ZH),ZH,ZH83,Nordweinland,FALSE,2022
23,Berg am Irchel,ZH,ZH82,Südweinland,FALSE,2022
24,Buch am Irchel,ZH,ZH82,Südweinland,FALSE,2022
25,Dachsen,ZH,ZH81,Feuerthalen-Uhwiesen,FALSE,2022
26,Dorf,ZH,ZH82,Südweinland,FALSE,2022
27,Feuerthalen,ZH,ZH81,Feuerthalen-Uhwiesen,FALSE,2022
28,Flaach,ZH,ZH82,Südweinland,FALSE,2022
29,Flurlingen,ZH,ZH81,Feuerthalen-Uhwiesen,FALSE,2022
31,Henggart,ZH,ZH82,Südweinland,FALSE,2022
33,Kleinandelfingen,ZH,ZH83,Nordweinland,FALSE,2022
34,Laufen-Uhwiesen,ZH,ZH81,Feuerthalen-Uhwiesen,TRUE,2022
35,Marthalen,ZH,ZH83,Nordweinland,FALSE,2022
37,Ossingen,ZH,ZH84,Ostweinland,FALSE,2022
38,Rheinau,ZH,ZH83,Nordweinland,FALSE,2022
39,Thalheim an der Thur,ZH,ZH84,Ostweinland,FALSE,2022
40,Trüllikon,ZH,ZH83,Nordweinland,TRUE,2022
41,Truttikon,ZH,ZH84,Ostweinland,FALSE,2022
43,Volken,ZH,ZH82,Südweinland,FALSE,2022
51,Bachenbülach,ZH,ZH88,Bülach,TRUE,2022
52,Bassersdorf,ZH,ZH25,Bassersdorf-Nürensdorf,FALSE,2022
53,Bülach,ZH,ZH88,Bülach,TRUE,2022
54,Dietlikon,ZH,ZH26,Dietlikon-Wangen-Brüttisellen,TRUE,2022
55,Eglisau,ZH,ZH90,Glattfelden-Rafz,FALSE,2022
56,Embrach,ZH,ZH91,Embrach,FALSE,2022
57,Freienstein-Teufen,ZH,ZH91,Embrach,FALSE,2022
58,Glattfelden,ZH,ZH90,Glattfelden-Rafz,FALSE,2022
59,Hochfelden,ZH,ZH87,Stadel,TRUE,2022
60,Höri,ZH,ZH87,Stadel,FALSE,2022
