bfs_nr,municipality,canton,plz,locality,year
1,Aeugst am Albis,ZH,8914,Aeugst am Albis,2022
1,Aeugst am Albis,ZH,8914,Aeugstertal,2022
2,Affoltern am Albis,ZH,8909,Zwillikon,2022
2,Affoltern am Albis,ZH,8910,Affoltern am Albis,2022
3,Bonstetten,ZH,8906,Bonstetten,2022
4,Hausen am Albis,ZH,6340,Sihlbrugg,2022
4,Hausen am Albis,ZH,8915,Hausen am Albis,2022
4,Hausen am Albis,ZH,8925,Ebertswil,2022
5,Hedingen,ZH,8908,Hedingen,2022
6,Kappel am Albis,ZH,8926,Kappel am Albis,2022
6,Kappel am Albis,ZH,8926,Hauptikon,2022
6,Kappel am Albis,ZH,8926,Uerzlikon,2022
7,Knonau,ZH,8934,Knonau,2022
8,Maschwanden,ZH,8933,Maschwanden,2022
9,Mettmenstetten,ZH,8932,Mettmenstetten,2022
10,Obfelden,ZH,8910,Affoltern am Albis,2022
10,Obfelden,ZH,8912,Obfelden,2022
11,Ottenbach,ZH,8913,Ottenbach,2022
12,Rifferswil,ZH,8911,Rifferswil,2022
13,Stallikon,ZH,8134,Adliswil,2022
13,Stallikon,ZH,8143,Stallikon,2022
13,Stallikon,ZH,8143,Uetliberg,2022
14,Wettswil am Albis,ZH,8907,Wettswil,2022
22,Benken (ZH),ZH,8463,Benken ZH,2022
23,Berg am Irchel,ZH,8415,Berg am Irchel,2022
23,Berg am Irchel,ZH,8415,Gräslikon,2022
24,Buch am Irchel,ZH,8414,Buch am Irchel,2022
25,Dachsen,ZH,8447,Dachsen,2022
26,Dorf,ZH,8458,Dorf,2022
27,Feuerthalen,ZH,8245,Feuerthalen,2022
27,Feuerthalen,ZH,8246,Langwiesen,2022
28,Flaach,ZH,8416,Flaach,2022
29,Flurlingen,ZH,8247,Flurlingen,2022
31,Henggart,ZH,8444,Henggart,2022
33,Kleinandelfingen,ZH,8451,Kleinandelfingen,2022
33,Kleinandelfingen,ZH,8453,Alten,2022
33,Kleinandelfingen,ZH,8461,Oerlingen,2022
34,Laufen-Uhwiesen,ZH,8212,Nohl,2022
34,Laufen-Uhwiesen,ZH,8248,Uhwiesen,2022
34,Laufen-Uhwiesen,ZH,8447,Dachsen,2022
35,Marthalen,ZH,8460,Marthalen,2022
35,Marthalen,ZH,8464,Ellikon am Rhein,2022
37,Ossingen,ZH,8466,Trüllikon,2022
37,Ossingen,ZH,8475,Ossingen,2022
38,Rheinau,ZH,8462,Rheinau,2022
38,Rheinau,ZH,8464,Ellikon am Rhein,2022
39,Thalheim an der Thur,ZH,8478,Thalheim an der Thur,2022
40,Trüllikon,ZH,8465,Rudolfingen,2022
40,Trüllikon,ZH,8465,Wildensbuch,2022
40,Trüllikon,ZH,8466,Trüllikon,2022
41,Truttikon,ZH,8467,Truttikon,2022
43,Volken,ZH,8459,Volken,2022
51,Bachenbülach,ZH,8180,Bülach,2022
51,Bachenbülach,ZH,8184,Bachenbülach,2022
52,Bassersdorf,ZH,8303,Bassersdorf,2022
53,Bülach,ZH,8180,Bülach,2022
53,Bülach,ZH,8192,Glattfelden,2022
54,Dietlikon,ZH,8305,Dietlikon,2022
54,Dietlikon,ZH,8600,Dübendorf,2022
55,Eglisau,ZH,8193,Eglisau,2022
55,Eglisau,ZH,8197,Rafz,2022
56,Embrach,ZH,8424,Embrach,2022
57,Freienstein-Teufen,ZH,8427,Freienstein,2022
57,Freienstein-Teufen,ZH,8428,Teufen ZH,2022
58,Glattfelden,ZH,8192,Glattfelden,2022
58,Glattfelden,ZH,8192,Zweidlen,2022
58,Glattfelden,ZH,8193,Eglisau,2022
59,Hochfelden,ZH,8182,Hochfelden,2022
59,Hochfelden,ZH,8192,Glattfelden,2022
60,Höri,ZH,8181,Höri,2022
61,Hüntwangen,ZH,8194,Hüntwangen,2022
62,Kloten,ZH,8302,Kloten,2022
62,Kloten,ZH,8309,Nürensdorf,2022
63,Lufingen,ZH,8426,Lufingen,2022
64,Nürensdorf,ZH,8309,Nürensdorf,2022
65,Oberembrach,ZH,8425,Oberembrach,2022
66,Opfikon,ZH,8052,Zürich,2022
66,Opfikon,ZH,8152,Glattbrugg,2022
66,Opfikon,ZH,8152,Opfikon,2022
66,Opfikon,ZH,8152,Glattpark (Opfikon),2022
67,Rafz,ZH,8197,Rafz,2022
68,Rorbas,ZH,8427,Rorbas,2022
68,Rorbas,ZH,8428,Teufen ZH,2022
69,Wallisellen,ZH,8304,Wallisellen,2022
70,Wasterkingen,ZH,8195,Wasterkingen,2022
70,Wasterkingen,ZH,8196,Wil ZH,2022
71,Wil (ZH),ZH,8196,Wil ZH,2022
71,Wil (ZH),ZH,8197,Rafz,2022
72,Winkel,ZH,8180,Bülach,2022
72,Winkel,ZH,8185,Winkel,2022
81,Bachs,ZH,8164,Bachs,2022
82,Boppelsen,ZH,8113,Boppelsen,2022
82,Boppelsen,ZH,8158,Regensberg,2022
83,Buchs (ZH),ZH,8107,Buchs ZH,2022
84,Dällikon,ZH,8108,Dällikon,2022
85,Dänikon,ZH,8114,Dänikon ZH,2022
86,Dielsdorf,ZH,8157,Dielsdorf,2022
87,Hüttikon,ZH,8115,Hüttikon,2022
88,Neerach,ZH,8162,Steinmaur,2022
88,Neerach,ZH,8164,Bachs,2022
88,Neerach,ZH,8173,Neerach,2022
88,Neerach,ZH,8174,Stadel b. Niederglatt,2022
89,Niederglatt,ZH,8155,Niederhasli,2022
89,Niederglatt,ZH,8172,Niederglatt ZH,2022
90,Niederhasli,ZH,8155,Niederhasli,2022
90,Niederhasli,ZH,8155,Nassenwil,2022
90,Niederhasli,ZH,8156,Oberhasli,2022
91,Niederweningen,ZH,8166,Niederweningen,2022
92,Oberglatt,ZH,8154,Oberglatt ZH,2022
93,Oberweningen,ZH,5462,Siglistorf,2022
93,Oberweningen,ZH,8165,Oberweningen,2022
94,Otelfingen,ZH,8107,Buchs ZH,2022
94,Otelfingen,ZH,8112,Otelfingen,2022
95,Regensberg,ZH,8158,Regensberg,2022
96,Regensdorf,ZH,8105,Regensdorf,2022
96,Regensdorf,ZH,8105,Watt,2022
96,Regensdorf,ZH,8106,Adlikon b. Regensdorf,2022
97,Rümlang,ZH,8052,Zürich,2022
97,Rümlang,ZH,8152,Glattbrugg,2022
97,Rümlang,ZH,8153,Rümlang,2022
98,Schleinikon,ZH,8165,Schleinikon,2022
99,Schöfflisdorf,ZH,8165,Schöfflisdorf,2022
100,Stadel,ZH,8174,Stadel b. Niederglatt,2022
100,Stadel,ZH,8175,Windlach,2022
101,Steinmaur,ZH,8155,Niederhasli,2022
101,Steinmaur,ZH,8162,Steinmaur,2022
101,Steinmaur,ZH,8162,Sünikon,2022
102,Weiach,ZH,8187,Weiach,2022
111,Bäretswil,ZH,8340,Hinwil,2022
111,Bäretswil,ZH,8344,Bäretswil,2022
111,Bäretswil,ZH,8345,Adetswil,2022
111,Bäretswil,ZH,8498,Gibswil,2022
112,Bubikon,ZH,8608,Bubikon,2022
112,Bubikon,ZH,8633,Wolfhausen,2022
113,Dürnten,ZH,8340,Hinwil,2022
113,Dürnten,ZH,8608,Bubikon,2022
113,Dürnten,ZH,8630,Rüti ZH,2022
113,Dürnten,ZH,8632,Tann,2022
113,Dürnten,ZH,8635,Dürnten,2022
113,Dürnten,ZH,8636,Wald ZH,2022
114,Fischenthal,ZH,8340,Hinwil,2022
114,Fischenthal,ZH,8494,Bauma,2022
114,Fischenthal,ZH,8496,Steg im Tösstal,2022
114,Fischenthal,ZH,8497,Fischenthal,2022
114,Fischenthal,ZH,8498,Gibswil,2022
115,Gossau (ZH),ZH,8614,Bertschikon (Gossau ZH),2022
115,Gossau (ZH),ZH,8617,Mönchaltorf,2022
115,Gossau (ZH),ZH,8624,Grüt (Gossau ZH),2022
115,Gossau (ZH),ZH,8625,Gossau ZH,2022
115,Gossau (ZH),ZH,8626,Ottikon (Gossau ZH),2022
115,Gossau (ZH),ZH,8627,Grüningen,2022
116,Grüningen,ZH,8627,Grüningen,2022
117,Hinwil,ZH,8340,Hinwil,2022
117,Hinwil,ZH,8342,Wernetshausen,2022
117,Hinwil,ZH,8498,Gibswil,2022
118,Rüti (ZH),ZH,8630,Rüti ZH,2022
118,Rüti (ZH),ZH,8636,Wald ZH,2022
119,Seegräben,ZH,8607,Aathal-Seegräben,2022
120,Wald (ZH),ZH,8497,Fischenthal,2022
120,Wald (ZH),ZH,8636,Wald ZH,2022
120,Wald (ZH),ZH,8637,Laupen ZH,2022
121,Wetzikon (ZH),ZH,8345,Adetswil,2022
121,Wetzikon (ZH),ZH,8620,Wetzikon ZH,2022
121,Wetzikon (ZH),ZH,8623,Wetzikon ZH,2022
131,Adliswil,ZH,8041,Zürich,2022
131,Adliswil,ZH,8134,Adliswil,2022
135,Kilchberg (ZH),ZH,8802,Kilchberg ZH,2022
135,Kilchberg (ZH),ZH,8803,Rüschlikon,2022
136,Langnau am Albis,ZH,8135,Langnau am Albis,2022
137,Oberrieden,ZH,8942,Oberrieden,2022
138,Richterswil,ZH,8805,Richterswil,2022
138,Richterswil,ZH,8833,Samstagern,2022
139,Rüschlikon,ZH,8803,Rüschlikon,2022
141,Thalwil,ZH,8136,Gattikon,2022
141,Thalwil,ZH,8800,Thalwil,2022
151,Erlenbach (ZH),ZH,8703,Erlenbach ZH,2022
152,Herrliberg,ZH,8703,Erlenbach ZH,2022
152,Herrliberg,ZH,8704,Herrliberg,2022
153,Hombrechtikon,ZH,8627,Grüningen,2022
153,Hombrechtikon,ZH,8634,Hombrechtikon,2022
153,Hombrechtikon,ZH,8714,Feldbach,2022
154,Küsnacht (ZH),ZH,8127,Forch,2022
154,Küsnacht (ZH),ZH,8700,Küsnacht ZH,2022
155,Männedorf,ZH,8618,Oetwil am See,2022
155,Männedorf,ZH,8708,Männedorf,2022
156,Meilen,ZH,8706,Meilen,2022
157,Oetwil am See,ZH,8618,Oetwil am See,2022
158,Stäfa,ZH,8634,Hombrechtikon,2022
158,Stäfa,ZH,8712,Stäfa,2022
158,Stäfa,ZH,8713,Uerikon,2022
159,Uetikon am See,ZH,8707,Uetikon am See,2022
160,Zumikon,ZH,8126,Zumikon,2022
161,Zollikon,ZH,8125,Zollikerberg,2022
161,Zollikon,ZH,8702,Zollikon,2022
172,Fehraltorf,ZH,8308,Illnau,2022
172,Fehraltorf,ZH,8320,Fehraltorf,2022
173,Hittnau,ZH,8335,Hittnau,2022
176,Lindau,ZH,8310,Kemptthal,2022
176,Lindau,ZH,8310,Grafstal,2022
176,Lindau,ZH,8312,Winterberg ZH,2022
176,Lindau,ZH,8315,Lindau,2022
176,Lindau,ZH,8317,Tagelswangen,2022
177,Pfäffikon,ZH,8330,Pfäffikon ZH,2022
177,Pfäffikon,ZH,8331,Auslikon,2022
177,Pfäffikon,ZH,8623,Wetzikon ZH,2022
178,Russikon,ZH,8322,Madetswil,2022
178,Russikon,ZH,8322,Gündisau,2022
178,Russikon,ZH,8332,Russikon,2022
178,Russikon,ZH,8332,Rumlikon,2022
180,Weisslingen,ZH,8308,Agasul,2022
180,Weisslingen,ZH,8484,Weisslingen,2022
180,Weisslingen,ZH,8484,Neschwil,2022
180,Weisslingen,ZH,8484,Theilingen,2022
180,Weisslingen,ZH,8486,Rikon im Tösstal,2022
181,Wila,ZH,8492,Wila,2022
181,Wila,ZH,8493,Saland,2022
182,Wildberg,ZH,8322,Madetswil,2022
182,Wildberg,ZH,8488,Turbenthal,2022
182,Wildberg,ZH,8489,Wildberg,2022
182,Wildberg,ZH,8489,Schalchen,2022
182,Wildberg,ZH,8489,Ehrikon,2022
191,Dübendorf,ZH,8044,Gockhausen,2022
191,Dübendorf,ZH,8051,Zürich,2022
191,Dübendorf,ZH,8600,Dübendorf,2022
191,Dübendorf,ZH,8603,Schwerzenbach,2022
192,Egg,ZH,8127,Forch,2022
192,Egg,ZH,8132,Egg b. Zürich,2022
192,Egg,ZH,8132,Hinteregg,2022
192,Egg,ZH,8133,Esslingen,2022
193,Fällanden,ZH,8117,Fällanden,2022
193,Fällanden,ZH,8118,Pfaffhausen,2022
193,Fällanden,ZH,8121,Benglen,2022
194,Greifensee,ZH,8606,Greifensee,2022
195,Maur,ZH,8122,Binz,2022
195,Maur,ZH,8123,Ebmatingen,2022
195,Maur,ZH,8124,Maur,2022
195,Maur,ZH,8127,Forch,2022
195,Maur,ZH,8132,Hinteregg,2022
196,Mönchaltorf,ZH,8607,Aathal-Seegräben,2022
196,Mönchaltorf,ZH,8617,Mönchaltorf,2022
197,Schwerzenbach,ZH,8600,Dübendorf,2022
197,Schwerzenbach,ZH,8603,Schwerzenbach,2022
198,Uster,ZH,8605,Gutenswil,2022
198,Uster,ZH,8606,Nänikon,2022
198,Uster,ZH,8610,Uster,2022
198,Uster,ZH,8614,Sulzbach,2022
198,Uster,ZH,8615,Wermatswil,2022
198,Uster,ZH,8615,Freudwil,2022
198,Uster,ZH,8616,Riedikon,2022
198,Uster,ZH,8617,Mönchaltorf,2022
199,Volketswil,ZH,8307,Effretikon,2022
199,Volketswil,ZH,8604,Volketswil,2022
199,Volketswil,ZH,8605,Gutenswil,2022
200,Wangen-Brüttisellen,ZH,8306,Brüttisellen,2022
200,Wangen-Brüttisellen,ZH,8602,Wangen b. Dübendorf,2022
211,Altikon,ZH,8479,Altikon,2022
213,Brütten,ZH,8311,Brütten,2022
214,Dägerlen,ZH,8471,Rutschwil (Dägerlen),2022
214,Dägerlen,ZH,8471,Dägerlen,2022
214,Dägerlen,ZH,8471,Oberwil (Dägerlen),2022
214,Dägerlen,ZH,8471,Berg (Dägerlen),2022
