plz,canton,medstat_id,medstat_name,mobspat_id,year
1000,VD,VD02,Epalinges-Forains,84,2022
1001,VD,VD03,Lausanne-Centre,84,2022
1002,VD,VD03,Lausanne-Centre,84,2022
1003,VD,VD03,Lausanne-Centre,84,2022
1004,VD,VD04,Lausanne-Beaulieu-Prélaz,84,2022
1005,VD,VD03,Lausanne-Centre,84,2022
1006,VD,VD05,Lausaanne-Ouchy-Montchoisi,84,2022
1007,VD,VD06,Lausanne-Vidy-Montoie,84,2022
1008,VD,VD07,Prilly,84,2022
1009,VD,VD08,Pully,84,2022
1010,VD,VD09,Lausanne-La Sallaz,84,2022
1011,VD,VD03,Lausanne-Centre,84,2022
1012,VD,VD10,Lausanne-Chailly,84,2022
1014,VD,VD03,Lausanne-Centre,84,2022
1015,VD,VD13,Ecublens-Chavannes,84,2022
1017,VD,VD14,Bussigny-Crissier,84,2022
1018,VD,VD11,Lausanne-Pontaise-Bellevaux,84,2022
1019,VD,VD03,Lausanne-Centre,84,2022
1020,VD,VD12,Renens,84,2022
1022,VD,VD13,Ecublens-Chavannes,84,2022
1023,VD,VD14,Bussigny-Crissier,84,2022
1024,VD,VD13,Ecublens-Chavannes,84,2022
1025,VD,VD13,Ecublens-Chavannes,84,2022
1026,VD,VD19,Basse-Venoge,85,2022
1027,VD,VD19,Basse-Venoge,85,2022
1028,VD,VD19,Basse-Venoge,85,2022
1029,VD,VD14,Bussigny-Crissier,84,2022
1030,VD,VD14,Bussigny-Crissier,84,2022
1031,VD,VD46,Venoge-Est,90,2022
1032,VD,VD15,Romanel-Cheseaux,84,2022
1033,VD,VD15,Romanel-Cheseaux,84,2022
1034,VD,VD46,Venoge-Est,90,2022
1035,VD,VD46,Venoge-Est,90,2022
1036,VD,VD46,Venoge-Est,90,2022
1037,VD,VD47,Echallens,90,2022
1038,VD,VD48,Jorat-Essertines,90,2022
1039,VD,VD15,Romanel-Cheseaux,84,2022
1040,VD,VD47,Echallens,90,2022
1041,VD,VD48,Jorat-Essertines,90,2022
1042,VD,VD47,Echallens,90,2022
1043,VD,VD48,Jorat-Essertines,90,2022
1044,VD,VD48,Jorat-Essertines,90,2022
1045,VD,VD60,Moudon-Thierrens,93,2022
1046,VD,VD48,Jorat-Essertines,90,2022
1047,VD,VD54,Yvonand-Menthue,91,2022
1051,VD,VD16,Hauts-de-Lausanne,84,2022
1052,VD,VD16,Hauts-de-Lausanne,84,2022
1053,VD,VD16,Hauts-de-Lausanne,84,2022
1054,VD,VD16,Hauts-de-Lausanne,84,2022
1055,VD,VD16,Hauts-de-Lausanne,84,2022
1058,VD,VD48,Jorat-Essertines,90,2022
1059,VD,VD61,Haut-Jorat,93,2022
1061,VD,VD61,Haut-Jorat,93,2022
1062,VD,VD60,Moudon-Thierrens,93,2022
