bfs_nr,municipality,canton,valid_from,valid_to,bfs_nr_2022,municipality_2022
1,Aeugst am Albis,ZH,1976-11-15,NA,1,Aeugst am Albis
2,Affoltern am Albis,ZH,1960-01-01,NA,2,Affoltern am Albis
3,Bonstetten,ZH,1960-01-01,NA,3,Bonstetten
4,Hausen am Albis,ZH,1960-01-01,NA,4,Hausen am Albis
5,Hedingen,ZH,1960-01-01,NA,5,Hedingen
6,Kappel am Albis,ZH,1960-01-01,NA,6,Kappel am Albis
7,Knonau,ZH,1960-01-01,NA,7,Knonau
8,Maschwanden,ZH,1960-01-01,NA,8,Maschwanden
9,Mettmenstetten,ZH,1960-01-01,NA,9,Mettmenstetten
10,Obfelden,ZH,1960-01-01,NA,10,Obfelden
11,Ottenbach,ZH,1960-01-01,NA,11,Ottenbach
12,Rifferswil,ZH,1960-01-01,NA,12,Rifferswil
13,Stallikon,ZH,1960-01-01,NA,13,Stallikon
14,Wettswil am Albis,ZH,1976-11-15,NA,14,Wettswil am Albis
21,Adlikon,ZH,1960-01-01,2022-12-31,21,Adlikon
22,Benken (ZH),ZH,1960-01-01,NA,22,Benken (ZH)
23,Berg am Irchel,ZH,1960-01-01,NA,23,Berg am Irchel
24,Buch am Irchel,ZH,1960-01-01,2012-12-31,24,Buch am Irchel
24,Buch am Irchel,ZH,2013-01-01,NA,24,Buch am Irchel
25,Dachsen,ZH,1960-01-01,NA,25,Dachsen
26,Dorf,ZH,1960-01-01,NA,26,Dorf
27,Feuerthalen,ZH,1960-01-01,NA,27,Feuerthalen
28,Flaach,ZH,1960-01-01,NA,28,Flaach
29,Flurlingen,ZH,1960-01-01,NA,29,Flurlingen
30,Andelfingen,ZH,1970-01-01,2022-12-31,30,Andelfingen
31,Henggart,ZH,1960-01-01,NA,31,Henggart
32,Humlikon,ZH,1960-01-01,2022-12-31,32,Humlikon
33,Kleinandelfingen,ZH,1960-01-01,NA,33,Kleinandelfingen
34,Laufen-Uhwiesen,ZH,1960-01-01,NA,34,Laufen-Uhwiesen
35,Marthalen,ZH,1960-01-01,NA,35,Marthalen
36,Oberstammheim,ZH,1960-01-01,2018-12-31,292,Stammheim
37,Ossingen,ZH,1960-01-01,NA,37,Ossingen
38,Rheinau,ZH,1960-01-01,NA,38,Rheinau
39,Thalheim an der Thur,ZH,1960-01-01,NA,39,Thalheim an der Thur
40,Trüllikon,ZH,1960-01-01,NA,40,Trüllikon
41,Truttikon,ZH,1960-01-01,NA,41,Truttikon
42,Unterstammheim,ZH,1960-01-01,2018-12-31,292,Stammheim
43,Volken,ZH,1960-01-01,NA,43,Volken
44,Waltalingen,ZH,1960-01-01,2018-12-31,292,Stammheim
51,Bachenbülach,ZH,1960-01-01,NA,51,Bachenbülach
52,Bassersdorf,ZH,1960-01-01,NA,52,Bassersdorf
53,Bülach,ZH,1960-01-01,NA,53,Bülach
54,Dietlikon,ZH,1960-01-01,NA,54,Dietlikon
55,Eglisau,ZH,1960-01-01,NA,55,Eglisau
56,Embrach,ZH,1960-01-01,NA,56,Embrach
57,Freienstein-Teufen,ZH,1960-01-01,NA,57,Freienstein-Teufen
58,Glattfelden,ZH,1960-01-01,NA,58,Glattfelden
59,Hochfelden,ZH,1960-01-01,NA,59,Hochfelden
60,Höri,ZH,1960-01-01,NA,60,Höri
61,Hüntwangen,ZH,1960-01-01,NA,61,Hüntwangen
62,Kloten,ZH,1960-01-01,2024-02-29,62,Kloten
63,Lufingen,ZH,1960-01-01,NA,63,Lufingen
64,Nürensdorf,ZH,1960-01-01,2024-02-29,64,Nürensdorf
65,Oberembrach,ZH,1960-01-01,NA,65,Oberembrach
66,Opfikon,ZH,1960-01-01,NA,66,Opfikon
67,Rafz,ZH,1960-01-01,NA,67,Rafz
68,Rorbas,ZH,1960-01-01,NA,68,Rorbas
69,Wallisellen,ZH,1960-01-01,NA,69,Wallisellen
70,Wasterkingen,ZH,1960-01-01,NA,70,Wasterkingen
71,Wil (ZH),ZH,1960-01-01,NA,71,Wil (ZH)
72,Winkel,ZH,1960-01-01,NA,72,Winkel
81,Bachs,ZH,1960-01-01,NA,81,Bachs
82,Boppelsen,ZH,1960-01-01,NA,82,Boppelsen
83,Buchs (ZH),ZH,1960-01-01,NA,83,Buchs (ZH)
84,Dällikon,ZH,1960-01-01,NA,84,Dällikon
85,Dänikon,ZH,1960-01-01,NA,85,Dänikon
86,Dielsdorf,ZH,1960-01-01,NA,86,Dielsdorf
87,Hüttikon,ZH,1960-01-01,NA,87,Hüttikon
88,Neerach,ZH,1960-01-01,NA,88,Neerach
89,Niederglatt,ZH,1960-01-01,NA,89,Niederglatt
90,Niederhasli,ZH,1960-01-01,NA,90,Niederhasli
91,Niederweningen,ZH,1960-01-01,NA,91,Niederweningen
92,Oberglatt,ZH,1960-01-01,NA,92,Oberglatt
93,Oberweningen,ZH,1960-01-01,NA,93,Oberweningen
94,Otelfingen,ZH,1960-01-01,NA,94,Otelfingen
95,Regensberg,ZH,1960-01-01,NA,95,Regensberg
96,Regensdorf,ZH,1960-01-01,NA,96,Regensdorf
97,Rümlang,ZH,1960-01-01,NA,97,Rümlang
98,Schleinikon,ZH,1960-01-01,NA,98,Schleinikon
99,Schöfflisdorf,ZH,1960-01-01,NA,99,Schöfflisdorf
100,Stadel,ZH,1960-01-01,NA,100,Stadel
101,Steinmaur,ZH,1960-01-01,NA,101,Steinmaur
102,Weiach,ZH,1960-01-01,NA,102,Weiach
111,Bäretswil,ZH,1960-01-01,NA,111,Bäretswil
112,Bubikon,ZH,1960-01-01,NA,112,Bubikon
113,Dürnten,ZH,1960-01-01,NA,113,Dürnten
114,Fischenthal,ZH,1960-01-01,NA,114,Fischenthal
115,Gossau (ZH),ZH,1960-01-01,NA,115,Gossau (ZH)
116,Grüningen,ZH,1960-01-01,NA,116,Grüningen
117,Hinwil,ZH,1960-01-01,NA,117,Hinwil
118,Rüti (ZH),ZH,1960-01-01,NA,118,Rüti (ZH)
119,Seegräben,ZH,1960-01-01,NA,119,Seegräben
120,Wald (ZH),ZH,1960-01-01,NA,120,Wald (ZH)
121,Wetzikon (ZH),ZH,1960-01-01,NA,121,Wetzikon (ZH)
131,Adliswil,ZH,1960-01-01,NA,131,Adliswil
132,Hirzel,ZH,1960-01-01,2017-12-31,295,Horgen
133,Horgen,ZH,1960-01-01,2017-12-31,295,Horgen
134,Hütten,ZH,1960-01-01,2018-12-31,293,Wädenswil
135,Kilchberg (ZH),ZH,1960-01-01,NA,135,Kilchberg (ZH)
136,Langnau am Albis,ZH,1960-01-01,NA,136,Langnau am Albis
137,Oberrieden,ZH,1960-01-01,NA,137,Oberrieden
138,Richterswil,ZH,1960-01-01,NA,138,Richterswil
139,Rüschlikon,ZH,1960-01-01,NA,139,Rüschlikon
140,Schönenberg (ZH),ZH,1960-01-01,2018-12-31,293,Wädenswil
141,Thalwil,ZH,1960-01-01,NA,141,Thalwil
142,Wädenswil,ZH,1960-01-01,2018-12-31,293,Wädenswil
151,Erlenbach (ZH),ZH,1960-01-01,NA,151,Erlenbach (ZH)
152,Herrliberg,ZH,1960-01-01,NA,152,Herrliberg
153,Hombrechtikon,ZH,1960-01-01,NA,153,Hombrechtikon
154,Küsnacht (ZH),ZH,1960-01-01,NA,154,Küsnacht (ZH)
155,Männedorf,ZH,1960-01-01,NA,155,Männedorf
156,Meilen,ZH,1960-01-01,NA,156,Meilen
157,Oetwil am See,ZH,1960-01-01,NA,157,Oetwil am See
158,Stäfa,ZH,1960-01-01,NA,158,Stäfa
159,Uetikon am See,ZH,1977-03-10,NA,159,Uetikon am See
160,Zumikon,ZH,1960-01-01,NA,160,Zumikon
161,Zollikon,ZH,1986-01-01,NA,161,Zollikon
171,Bauma,ZH,1960-01-01,2014-12-31,297,Bauma
172,Fehraltorf,ZH,1960-01-01,NA,172,Fehraltorf
173,Hittnau,ZH,1960-01-01,NA,173,Hittnau
174,Illnau-Effretikon,ZH,1974-03-16,2015-12-31,296,Illnau-Effretikon
175,Kyburg,ZH,1960-01-01,2015-12-31,296,Illnau-Effretikon
176,Lindau,ZH,1960-01-01,NA,176,Lindau
177,Pfäffikon,ZH,1960-01-01,NA,177,Pfäffikon
178,Russikon,ZH,1960-01-01,NA,178,Russikon
179,Sternenberg,ZH,1960-01-01,2014-12-31,297,Bauma
180,Weisslingen,ZH,1960-01-01,NA,180,Weisslingen
181,Wila,ZH,1960-01-01,NA,181,Wila
182,Wildberg,ZH,1960-01-01,NA,182,Wildberg
191,Dübendorf,ZH,1960-01-01,NA,191,Dübendorf
192,Egg,ZH,1960-01-01,NA,192,Egg
193,Fällanden,ZH,1960-01-01,NA,193,Fällanden
194,Greifensee,ZH,1960-01-01,NA,194,Greifensee
195,Maur,ZH,1960-01-01,NA,195,Maur
196,Mönchaltorf,ZH,1960-01-01,NA,196,Mönchaltorf
197,Schwerzenbach,ZH,1960-01-01,NA,197,Schwerzenbach
198,Uster,ZH,1960-01-01,NA,198,Uster
199,Volketswil,ZH,1960-01-01,NA,199,Volketswil
200,Wangen-Brüttisellen,ZH,1976-01-01,NA,200,Wangen-Brüttisellen
211,Altikon,ZH,1960-01-01,NA,211,Altikon
212,Bertschikon,ZH,1960-01-01,2013-12-31,298,Wiesendangen
213,Brütten,ZH,1960-01-01,NA,213,Brütten
214,Dägerlen,ZH,1960-01-01,NA,214,Dägerlen
215,Dättlikon,ZH,1960-01-01,NA,215,Dättlikon
216,Dinhard,ZH,1960-01-01,NA,216,Dinhard
217,Elgg,ZH,1960-01-01,2017-12-31,294,Elgg
218,Ellikon an der Thur,ZH,1960-01-01,NA,218,Ellikon an der Thur
219,Elsau,ZH,1960-01-01,NA,219,Elsau
220,Hagenbuch,ZH,1960-01-01,NA,220,Hagenbuch
221,Hettlingen,ZH,1960-01-01,NA,221,Hettlingen
222,Hofstetten (ZH),ZH,2003-01-01,2017-12-31,294,Elgg
223,Neftenbach,ZH,1960-01-01,2012-12-31,223,Neftenbach
223,Neftenbach,ZH,2013-01-01,NA,223,Neftenbach
224,Pfungen,ZH,1960-01-01,NA,224,Pfungen
225,Rickenbach (ZH),ZH,1960-01-01,NA,225,Rickenbach (ZH)
226,Schlatt (ZH),ZH,1999-01-01,NA,226,Schlatt (ZH)
227,Seuzach,ZH,1960-01-01,NA,227,Seuzach
228,Turbenthal,ZH,1960-01-01,NA,228,Turbenthal
229,Wiesendangen,ZH,1960-01-01,2013-12-31,298,Wiesendangen
230,Winterthur,ZH,1960-01-01,NA,230,Winterthur
231,Zell (ZH),ZH,1960-01-01,NA,231,Zell (ZH)
241,Aesch (ZH),ZH,2003-01-01,NA,241,Aesch (ZH)
242,Birmensdorf (ZH),ZH,1990-01-01,NA,242,Birmensdorf (ZH)
243,Dietikon,ZH,1990-01-01,NA,243,Dietikon
244,Geroldswil,ZH,1990-01-01,NA,244,Geroldswil
245,Oberengstringen,ZH,1990-01-01,NA,245,Oberengstringen
246,Oetwil an der Limmat,ZH,1990-01-01,NA,246,Oetwil an der Limmat
247,Schlieren,ZH,1990-01-01,NA,247,Schlieren
248,Uitikon,ZH,1990-01-01,NA,248,Uitikon
249,Unterengstringen,ZH,1990-01-01,NA,249,Unterengstringen
250,Urdorf,ZH,1990-01-01,NA,250,Urdorf
251,Weiningen (ZH),ZH,1990-01-01,NA,251,Weiningen (ZH)
261,Zürich,ZH,1990-01-01,NA,261,Zürich
292,Stammheim,ZH,2019-01-01,NA,292,Stammheim
293,Wädenswil,ZH,2019-01-01,NA,293,Wädenswil
294,Elgg,ZH,2018-01-01,NA,294,Elgg
295,Horgen,ZH,2018-01-01,NA,295,Horgen
296,Illnau-Effretikon,ZH,2016-01-01,NA,296,Illnau-Effretikon
297,Bauma,ZH,2015-01-01,NA,297,Bauma
298,Wiesendangen,ZH,2014-01-01,NA,298,Wiesendangen
301,Aarberg,BE,2010-01-01,NA,301,Aarberg
302,Bargen (BE),BE,2010-01-01,NA,302,Bargen (BE)
303,Grossaffoltern,BE,2010-01-01,NA,303,Grossaffoltern
304,Kallnach,BE,2010-01-01,2012-12-31,304,Kallnach
304,Kallnach,BE,2013-01-01,2018-12-31,304,Kallnach
304,Kallnach,BE,2019-01-01,NA,304,Kallnach
305,Kappelen,BE,2010-01-01,NA,305,Kappelen
306,Lyss,BE,2011-01-01,NA,306,Lyss
307,Meikirch,BE,2010-01-01,NA,307,Meikirch
308,Niederried bei Kallnach,BE,2010-01-01,2012-12-31,304,Kallnach
309,Radelfingen,BE,2010-01-01,NA,309,Radelfingen
310,Rapperswil (BE),BE,2010-01-01,2012-12-31,310,Rapperswil (BE)
310,Rapperswil (BE),BE,2013-01-01,2015-12-31,310,Rapperswil (BE)
310,Rapperswil (BE),BE,2016-01-01,NA,310,Rapperswil (BE)
311,Schüpfen,BE,2010-01-01,NA,311,Schüpfen
312,Seedorf (BE),BE,2010-01-01,NA,312,Seedorf (BE)
321,Aarwangen,BE,2010-01-01,NA,321,Aarwangen
322,Auswil,BE,2010-01-01,NA,322,Auswil
323,Bannwil,BE,2010-01-01,NA,323,Bannwil
324,Bleienbach,BE,2010-01-01,NA,324,Bleienbach
325,Busswil bei Melchnau,BE,2010-01-01,NA,325,Busswil bei Melchnau
326,Gondiswil,BE,2010-01-01,NA,326,Gondiswil
329,Langenthal,BE,2010-01-01,2020-12-31,329,Langenthal
329,Langenthal,BE,2021-01-01,NA,329,Langenthal
331,Lotzwil,BE,2010-01-01,NA,331,Lotzwil
332,Madiswil,BE,2011-01-01,NA,332,Madiswil
333,Melchnau,BE,2010-01-01,NA,333,Melchnau
334,Obersteckholz,BE,2010-01-01,2020-12-31,329,Langenthal
335,Oeschenbach,BE,2010-01-01,NA,335,Oeschenbach
336,Reisiswil,BE,2010-01-01,NA,336,Reisiswil
337,Roggwil (BE),BE,2010-01-01,NA,337,Roggwil (BE)
338,Rohrbach,BE,2010-01-01,NA,338,Rohrbach
339,Rohrbachgraben,BE,2010-01-01,NA,339,Rohrbachgraben
340,Rütschelen,BE,2010-01-01,NA,340,Rütschelen
341,Schwarzhäusern,BE,2010-01-01,NA,341,Schwarzhäusern
342,Thunstetten,BE,2010-01-01,NA,342,Thunstetten
344,Ursenbach,BE,2010-01-01,NA,344,Ursenbach
345,Wynau,BE,2010-01-01,NA,345,Wynau
